index,token,count,tag,frequency,neg,neu,pos,compound
330,mistak,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
476,distanc,13,NN,0.014656144306651634,0.0,1.0,0.0,0.0
68,visual,3,JJ,0.0033821871476888386,0.0,1.0,0.0,0.0
1,spin,6,NN,0.006764374295377677,0.0,1.0,0.0,0.0
245,expand,14,NN,0.015783540022547914,0.0,0.0,1.0,0.3182
269,howev,5,NN,0.005636978579481398,0.0,1.0,0.0,0.0
315,format,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
14,milki,33,NN,0.03720405862457723,0.0,1.0,0.0,0.0
783,observ,3,MD,0.0033821871476888386,0.0,1.0,0.0,0.0
126,rel,7,JJ,0.007891770011273957,0.0,1.0,0.0,0.0
24,arm,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
258,mean,4,NN,0.004509582863585118,0.0,1.0,0.0,0.0
90,model,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
111,eye,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
277,born,2,VBN,0.002254791431792559,0.0,1.0,0.0,0.0
21,bulg,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
229,import,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
464,reason,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
231,shape,5,NN,0.005636978579481398,0.0,1.0,0.0,0.0
812,edwin,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
616,trend,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
305,thought,1,VBD,0.0011273957158962795,0.0,1.0,0.0,0.0
179,contain,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
15,way,35,NN,0.03945885005636979,0.0,1.0,0.0,0.0
236,studi,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
33,sagittariu,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
255,state,4,NN,0.004509582863585118,0.0,1.0,0.0,0.0
780,revis,1,VBZ,0.0011273957158962795,0.0,1.0,0.0,0.0
341,answer,2,JJR,0.002254791431792559,0.0,1.0,0.0,0.0
265,net,2,JJ,0.002254791431792559,0.0,1.0,0.0,0.0
638,signific,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
361,secondli,1,NNS,0.0011273957158962795,0.0,1.0,0.0,0.0
332,first,2,RB,0.002254791431792559,0.0,1.0,0.0,0.0
130,space,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
624,astronom,3,JJ,0.0033821871476888386,0.0,1.0,0.0,0.0
558,term,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
711,scientif,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
222,individu,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
381,requir,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
846,cool,1,NN,0.0011273957158962795,0.0,0.0,1.0,0.3182
507,yet,1,RB,0.0011273957158962795,0.0,1.0,0.0,0.0
424,clearer,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
310,well-defin,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
0,sun,23,NN,0.02593010146561443,0.0,1.0,0.0,0.0
239,understand,5,NN,0.005636978579481398,0.0,1.0,0.0,0.0
814,1920,1,CD,0.0011273957158962795,0.0,1.0,0.0,0.0
782,data,1,NNS,0.0011273957158962795,0.0,1.0,0.0,0.0
65,one,6,CD,0.006764374295377677,0.0,1.0,0.0,0.0
279,distribut,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
13,part,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
700,exist,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
461,havent,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
617,toward,2,IN,0.002254791431792559,0.0,1.0,0.0,0.0
328,made,1,VBD,0.0011273957158962795,0.0,1.0,0.0,0.0
368,meassur,3,NN,0.0033821871476888386,0.0,1.0,0.0,0.0
316,evolut,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
205,graviti,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
35,orbit,20,NN,0.02254791431792559,0.0,1.0,0.0,0.0
385,correct,2,NN,0.002254791431792559,0.0,1.0,0.0,0.0
278,die,2,NN,0.002254791431792559,1.0,0.0,0.0,-0.5994
859,weaker,1,JJR,0.0011273957158962795,1.0,0.0,0.0,-0.4404
185,mass,1,NN,0.0011273957158962795,0.0,1.0,0.0,0.0
702,expert,1,JJ,0.0011273957158962795,0.0,1.0,0.0,0.0
465,doubt,1,NN,0.0011273957158962795,1.0,0.0,0.0,-0.3612
251,sens,3,VBZ,0.0033821871476888386,0.0,1.0,0.0,0.0
640,affect,1,VBP,0.0011273957158962795,0.0,1.0,0.0,0.0
99,see,2,VBP,0.002254791431792559,0.0,1.0,0.0,0.0
