index,token,count,tag,frequency,neg,neu,pos,compound
89,electricity,13,NN,0.00888585099111415,0.0,1.0,0.0,0.0
90,such,8,JJ,0.005468215994531784,0.0,1.0,0.0,0.0
91,as,11,IN,0.007518796992481203,0.0,1.0,0.0,0.0
92,through,5,IN,0.003417634996582365,0.0,1.0,0.0,0.0
93,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
94,use,6,NN,0.004101161995898838,0.0,1.0,0.0,0.0
95,of,45,IN,0.030758714969241284,0.0,1.0,0.0,0.0
96,static,3,JJ,0.002050580997949419,0.0,1.0,0.0,0.0
97,electricity,13,NN,0.00888585099111415,0.0,1.0,0.0,0.0
98,which,10,WDT,0.00683526999316473,0.0,1.0,0.0,0.0
99,is,26,VBZ,0.0177717019822283,0.0,1.0,0.0,0.0
100,generated,1,VBN,0.000683526999316473,0.0,1.0,0.0,0.0
101,by,8,IN,0.005468215994531784,0.0,1.0,0.0,0.0
102,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
103,friction,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
104,between,1,IN,0.000683526999316473,0.0,1.0,0.0,0.0
105,two,4,CD,0.002734107997265892,0.0,1.0,0.0,0.0
106,materials,2,NNS,0.001367053998632946,0.0,1.0,0.0,0.0
107,one,4,CD,0.002734107997265892,0.0,1.0,0.0,0.0
108,example,2,NN,0.001367053998632946,0.0,1.0,0.0,0.0
109,of,45,IN,0.030758714969241284,0.0,1.0,0.0,0.0
110,this,10,DT,0.00683526999316473,0.0,1.0,0.0,0.0
111,is,26,VBZ,0.0177717019822283,0.0,1.0,0.0,0.0
112,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
113,van,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
114,de,1,IN,0.000683526999316473,0.0,1.0,0.0,0.0
115,graaff,1,FW,0.000683526999316473,0.0,1.0,0.0,0.0
116,generator,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
117,which,10,WDT,0.00683526999316473,0.0,1.0,0.0,0.0
118,can,10,MD,0.00683526999316473,0.0,1.0,0.0,0.0
119,generate,6,VB,0.004101161995898838,0.0,1.0,0.0,0.0
120,static,3,JJ,0.002050580997949419,0.0,1.0,0.0,0.0
121,electricity,13,NN,0.00888585099111415,0.0,1.0,0.0,0.0
122,through,5,IN,0.003417634996582365,0.0,1.0,0.0,0.0
123,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
124,use,6,NN,0.004101161995898838,0.0,1.0,0.0,0.0
125,of,45,IN,0.030758714969241284,0.0,1.0,0.0,0.0
126,a,50,DT,0.03417634996582365,0.0,0.0,0.0,0.0
127,rotating,1,VBG,0.000683526999316473,0.0,1.0,0.0,0.0
128,belt,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
129,and,60,CC,0.04101161995898838,0.0,1.0,0.0,0.0
130,a,50,DT,0.03417634996582365,0.0,0.0,0.0,0.0
131,grounded,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
132,metal,2,NN,0.001367053998632946,0.0,1.0,0.0,0.0
133,sphere,1,RB,0.000683526999316473,0.0,1.0,0.0,0.0
134,another,3,DT,0.002050580997949419,0.0,1.0,0.0,0.0
135,method,2,NN,0.001367053998632946,0.0,1.0,0.0,0.0
136,is,26,VBZ,0.0177717019822283,0.0,1.0,0.0,0.0
137,through,5,IN,0.003417634996582365,0.0,1.0,0.0,0.0
138,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
139,use,6,NN,0.004101161995898838,0.0,1.0,0.0,0.0
140,of,45,IN,0.030758714969241284,0.0,1.0,0.0,0.0
141,atmospheric,4,JJ,0.002734107997265892,0.0,1.0,0.0,0.0
142,electricity,13,NN,0.00888585099111415,0.0,1.0,0.0,0.0
143,collectors,2,NNS,0.001367053998632946,0.0,1.0,0.0,0.0
144,which,10,WDT,0.00683526999316473,0.0,1.0,0.0,0.0
145,are,18,VBP,0.012303485987696514,0.0,1.0,0.0,0.0
146,designed,8,VBN,0.005468215994531784,0.0,1.0,0.0,0.0
147,to,65,TO,0.04442925495557074,0.0,1.0,0.0,0.0
148,capture,7,VB,0.004784688995215311,0.0,1.0,0.0,0.0
149,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
150,natural,1,JJ,0.000683526999316473,0.0,0.0,1.0,0.3612
151,electrical,10,JJ,0.00683526999316473,0.0,1.0,0.0,0.0
152,charge,6,NN,0.004101161995898838,0.0,1.0,0.0,0.0
153,in,28,IN,0.019138755980861243,0.0,1.0,0.0,0.0
154,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
155,air,2,NN,0.001367053998632946,0.0,1.0,0.0,0.0
156,these,5,DT,0.003417634996582365,0.0,1.0,0.0,0.0
157,collectors,2,NNS,0.001367053998632946,0.0,1.0,0.0,0.0
158,typically,2,RB,0.001367053998632946,0.0,1.0,0.0,0.0
159,consist,1,VBP,0.000683526999316473,0.0,1.0,0.0,0.0
160,of,45,IN,0.030758714969241284,0.0,1.0,0.0,0.0
161,a,50,DT,0.03417634996582365,0.0,0.0,0.0,0.0
162,tall,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
163,pointed,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
164,metal,2,NN,0.001367053998632946,0.0,1.0,0.0,0.0
165,rod,2,NN,0.001367053998632946,0.0,1.0,0.0,0.0
166,connected,2,VBN,0.001367053998632946,0.0,1.0,0.0,0.0
167,to,65,TO,0.04442925495557074,0.0,1.0,0.0,0.0
168,a,50,DT,0.03417634996582365,0.0,0.0,0.0,0.0
169,grounding,8,NN,0.005468215994531784,0.0,1.0,0.0,0.0
170,wire,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
171,which,10,WDT,0.00683526999316473,0.0,1.0,0.0,0.0
172,is,26,VBZ,0.0177717019822283,0.0,1.0,0.0,0.0
173,used,3,VBN,0.002050580997949419,0.0,1.0,0.0,0.0
174,to,65,TO,0.04442925495557074,0.0,1.0,0.0,0.0
175,capture,7,VB,0.004784688995215311,0.0,1.0,0.0,0.0
176,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
177,electrical,10,JJ,0.00683526999316473,0.0,1.0,0.0,0.0
178,charge,6,NN,0.004101161995898838,0.0,1.0,0.0,0.0
179,in,28,IN,0.019138755980861243,0.0,1.0,0.0,0.0
180,the,87,DT,0.059466848940533154,0.0,1.0,0.0,0.0
181,air,2,NN,0.001367053998632946,0.0,1.0,0.0,0.0
182,and,60,CC,0.04101161995898838,0.0,1.0,0.0,0.0
183,channel,1,VB,0.000683526999316473,0.0,1.0,0.0,0.0
184,it,20,PRP,0.01367053998632946,0.0,1.0,0.0,0.0
185,into,4,IN,0.002734107997265892,0.0,1.0,0.0,0.0
186,a,50,DT,0.03417634996582365,0.0,0.0,0.0,0.0
187,storage,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
188,device,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
189,while,4,IN,0.002734107997265892,0.0,1.0,0.0,0.0
190,these,5,DT,0.003417634996582365,0.0,1.0,0.0,0.0
191,methods,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
192,can,10,MD,0.00683526999316473,0.0,1.0,0.0,0.0
193,generate,6,VB,0.004101161995898838,0.0,1.0,0.0,0.0
194,electricity,13,NN,0.00888585099111415,0.0,1.0,0.0,0.0
195,from,8,IN,0.005468215994531784,0.0,1.0,0.0,0.0
196,atmospheric,4,JJ,0.002734107997265892,0.0,1.0,0.0,0.0
197,electricity,13,NN,0.00888585099111415,0.0,1.0,0.0,0.0
198,they,7,PRP,0.004784688995215311,0.0,1.0,0.0,0.0
199,are,18,VBP,0.012303485987696514,0.0,1.0,0.0,0.0
200,not,10,RB,0.00683526999316473,0.0,1.0,0.0,0.0
201,as,11,IN,0.007518796992481203,0.0,1.0,0.0,0.0
202,efficient,1,JJ,0.000683526999316473,0.0,0.0,1.0,0.4215
203,as,11,IN,0.007518796992481203,0.0,1.0,0.0,0.0
204,other,6,JJ,0.004101161995898838,0.0,1.0,0.0,0.0
205,renewable,3,JJ,0.002050580997949419,0.0,1.0,0.0,0.0
206,energy,9,NN,0.006151742993848257,0.0,0.0,1.0,0.2732
207,sources,1,NNS,0.000683526999316473,0.0,1.0,0.0,0.0
208,such,8,JJ,0.005468215994531784,0.0,1.0,0.0,0.0
209,as,11,IN,0.007518796992481203,0.0,1.0,0.0,0.0
210,solar,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
211,or,9,CC,0.006151742993848257,0.0,1.0,0.0,0.0
212,wind,1,JJ,0.000683526999316473,0.0,1.0,0.0,0.0
213,power,2,NN,0.001367053998632946,0.0,1.0,0.0,0.0
214,and,60,CC,0.04101161995898838,0.0,1.0,0.0,0.0
215,are,18,VBP,0.012303485987696514,0.0,1.0,0.0,0.0
216,generally,1,RB,0.000683526999316473,0.0,1.0,0.0,0.0
217,not,10,RB,0.00683526999316473,0.0,1.0,0.0,0.0
218,used,3,VBN,0.002050580997949419,0.0,1.0,0.0,0.0
219,on,9,IN,0.006151742993848257,0.0,1.0,0.0,0.0
220,a,50,DT,0.03417634996582365,0.0,0.0,0.0,0.0
221,large,4,JJ,0.002734107997265892,0.0,1.0,0.0,0.0
222,scale,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
223,however,5,RB,0.003417634996582365,0.0,1.0,0.0,0.0
224,research,1,NN,0.000683526999316473,0.0,1.0,0.0,0.0
225,is,26,VBZ,0.0177717019822283,0.0,1.0,0.0,0.0
226,ongoing,1,VBG,0.000683526999316473,0.0,1.0,0.0,0.0
227,in,28,IN,0.019138755980861243,0.0,1.0,0.0,0.0
228,this,10,DT,0.00683526999316473,0.0,1.0,0.0,0.0
229,area,2,NN,0.001367053998632946,0.0,1.0,0.0,0.0
230,and,60,CC,0.04101161995898838,0.0,1.0,0.0,0.0
